FID,OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,KCTA_NAME_,KCTA_ID,Region,Shape_Leng,Shape_Area
114,115,1,31,39,48201221100,Census Tract 2211,3061195.000000000000000,2733.000000000000000,+29.8600550,-95.3546869,Eastex - Jensen,K043,BW 8,25129.732413300000000,32973432.111600000000000
115,116,1,31,101,48201221100,Census Tract 2211,3061195.000000000000000,2733.000000000000000,+29.8600550,-95.3546869,Northside / Northline,K041,BW 8,25129.732413300000000,32973432.111600000000000
116,117,1,32,39,48201221200,Census Tract 2212,2500613.000000000000000,0.000000000000000,+29.8645953,-95.3740348,Eastex - Jensen,K043,BW 8,21611.644578100000000,26911181.579799999000000
117,118,1,32,101,48201221200,Census Tract 2212,2500613.000000000000000,0.000000000000000,+29.8645953,-95.3740348,Northside / Northline,K041,BW 8,21611.644578100000000,26911181.579799999000000
118,119,1,33,39,48201221300,Census Tract 2213,3431948.000000000000000,0.000000000000000,+29.8523942,-95.3727789,Eastex - Jensen,K043,BW 8,25041.789275899999000,36933909.268100001000000
119,120,1,33,101,48201221300,Census Tract 2213,3431948.000000000000000,0.000000000000000,+29.8523942,-95.3727789,Northside / Northline,K041,BW 8,25041.789275899999000,36933909.268100001000000
120,121,1,34,66,48201221400,Census Tract 2214,2019396.000000000000000,0.000000000000000,+29.8534357,-95.3915670,Independence Heights,K033,BW 8,19337.757647800001000,21732322.536300000000000
121,122,1,34,101,48201221400,Census Tract 2214,2019396.000000000000000,0.000000000000000,+29.8534357,-95.3915670,Northside / Northline,K041,BW 8,19337.757647800001000,21732322.536300000000000
122,123,1,35,4,48201221500,Census Tract 2215,2260494.000000000000000,363.000000000000000,+29.8657388,-95.3950163,Acres Home,K034,BW 8,21008.943384099999000,24330986.989500001000000
123,124,1,35,101,48201221500,Census Tract 2215,2260494.000000000000000,363.000000000000000,+29.8657388,-95.3950163,Northside / Northline,K041,BW 8,21008.943384099999000,24330986.989500001000000
124,125,1,36,4,48201221600,Census Tract 2216,5760333.000000000000000,4517.000000000000000,+29.8792764,-95.4010173,Acres Home,K034,BW 8,34013.542803900003000,62040788.720899999000000
125,126,1,36,6,48201221600,Census Tract 2216,5760333.000000000000000,4517.000000000000000,+29.8792764,-95.4010173,Aldine,K042,BW 8,34013.542803900003000,62040788.720899999000000
126,127,1,36,10,48201221600,Census Tract 2216,5760333.000000000000000,4517.000000000000000,+29.8792764,-95.4010173,Aldine West,K039,BW 8,34013.542803900003000,62040788.720899999000000
127,128,1,36,59,48201221600,Census Tract 2216,5760333.000000000000000,4517.000000000000000,+29.8792764,-95.4010173,Hidden Valley,K040,BW 8,34013.542803900003000,62040788.720899999000000
128,129,1,36,101,48201221600,Census Tract 2216,5760333.000000000000000,4517.000000000000000,+29.8792764,-95.4010173,Northside / Northline,K041,BW 8,34013.542803900003000,62040788.720899999000000
129,130,1,37,6,48201221700,Census Tract 2217,5320311.000000000000000,9583.000000000000000,+29.8802933,-95.3785580,Aldine,K042,BW 8,32991.324489799998000,57359742.381499998000000
130,131,1,37,39,48201221700,Census Tract 2217,5320311.000000000000000,9583.000000000000000,+29.8802933,-95.3785580,Eastex - Jensen,K043,BW 8,32991.324489799998000,57359742.381499998000000
131,132,1,37,101,48201221700,Census Tract 2217,5320311.000000000000000,9583.000000000000000,+29.8802933,-95.3785580,Northside / Northline,K041,BW 8,32991.324489799998000,57359742.381499998000000
132,133,1,38,6,48201221800,Census Tract 2218,3141990.000000000000000,2161.000000000000000,+29.8825250,-95.3610554,Aldine,K042,BW 8,26797.916243200001000,33837071.718999997000000
133,134,1,38,39,48201221800,Census Tract 2218,3141990.000000000000000,2161.000000000000000,+29.8825250,-95.3610554,Eastex - Jensen,K043,BW 8,26797.916243200001000,33837071.718999997000000
134,135,1,38,101,48201221800,Census Tract 2218,3141990.000000000000000,2161.000000000000000,+29.8825250,-95.3610554,Northside / Northline,K041,BW 8,26797.916243200001000,33837071.718999997000000
135,136,1,39,6,48201221900,Census Tract 2219,2663340.000000000000000,0.000000000000000,+29.8818669,-95.3491022,Aldine,K042,BW 8,24064.975423700002000,28662620.651000001000000
136,137,1,39,39,48201221900,Census Tract 2219,2663340.000000000000000,0.000000000000000,+29.8818669,-95.3491022,Eastex - Jensen,K043,BW 8,24064.975423700002000,28662620.651000001000000
137,138,1,40,39,48201222000,Census Tract 2220,1136546.000000000000000,329.000000000000000,+29.8680795,-95.3369210,Eastex - Jensen,K043,BW 8,16287.997509900000000,12234872.254200000000000
138,139,1,41,6,48201222100,Census Tract 2221,2285148.000000000000000,293.000000000000000,+29.8797771,-95.3351781,Aldine,K042,BW 8,24280.981743900000000,24595690.463599999000000
139,140,1,41,9,48201222100,Census Tract 2221,2285148.000000000000000,293.000000000000000,+29.8797771,-95.3351781,Aldine Southeast,K044,BW 8,24280.981743900000000,24595690.463599999000000
140,141,1,41,39,48201222100,Census Tract 2221,2285148.000000000000000,293.000000000000000,+29.8797771,-95.3351781,Eastex - Jensen,K043,BW 8,24280.981743900000000,24595690.463599999000000
141,142,1,42,6,48201222200,Census Tract 2222,2981498.000000000000000,17095.000000000000000,+29.8925865,-95.3253917,Aldine,K042,BW 8,24457.467342000000000,32270685.824299999000000
142,143,1,42,9,48201222200,Census Tract 2222,2981498.000000000000000,17095.000000000000000,+29.8925865,-95.3253917,Aldine Southeast,K044,BW 8,24457.467342000000000,32270685.824299999000000
143,144,1,42,39,48201222200,Census Tract 2222,2981498.000000000000000,17095.000000000000000,+29.8925865,-95.3253917,Eastex - Jensen,K043,BW 8,24457.467342000000000,32270685.824299999000000
144,145,1,43,6,48201222300,Census Tract 2223,4995087.000000000000000,2015.000000000000000,+29.8960708,-95.3514044,Aldine,K042,BW 8,37870.220759399999000,53778625.771600001000000
